"Data Source","World Development Indicators",

"Last Updated Date","2017-03-23",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Cuba","CUB","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","56","76","67","90","108","94","131","113","141","167.8","206.4","167","236.3","256.6","1009.4","1040.4","1018.3","778.9","815.5","939.6","1219.4","1096.8","1175.4","1398.7","1312.6","1585.2","1526","1547.9","","","",
"Curacao","CUW","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","13","16","15","15","17","8","22","24","24","43","44.5","56.6","54.7","49.3","133.8","115.3","150.1","141.3","217.5","265.6","313.8","365","434.6","575.4","620.5","656.9","736.9","888.6","","","",
"Czech Republic","CZE","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","0","","","","0","0","0","2746","2995","3079","2881","3132","3308","2179","1954.5","2185.5","2304.4","2263.5","2359.9","4904.5","5314.6","5658.1","6133.7","6773.3","7722.3","8607","9650.9","10377.1","11026.3","12350","13152.2","13590.8","14022.4","","","",
"Germany","DEU","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","26837","","","","27310","25654","25300","29292","31821","32295","32929","35120","34103","36901","37645","39213.4","41414.6","42955","42962.9","64372.9","65881","65845.6","67491.3","72934.4","81765.2","83335.1","87319.9","89470.3","93328.5","95135.1","98492.8","101777.8","101073.9","","","",
"Djibouti","DJI","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","1","2","3","1","1","2","1","1.3","0.2","0","0.7","0.3","2","0.6","1.3","1.3","1.9","2.6","1.9","2.3","2.8","8.1","6.9","4.4","6.5","7.8","","","",
"Dominica","DMA","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","2","0","0.3","0","1.5","0","0","4.1","2","4.6","2.4","6.3","4.2","3.9","5.2","6.5","8.6","6.9","10.8","11.3","","","",
"Denmark","DNK","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","3198","","","","3194","3636","3432","3445","3722","3716","3776","4141","4068","4458","4330.1","4368.7","4597.4","4717.9","4783.3","6660.9","6650.2","6763.6","6988.1","7629.7","8111","8367.9","8824.1","9040.2","9652.1","10168","11242.1","12237.1","12482.4","","","",
"Dominican Republic","DOM","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","9","7","6","6","7","11","5","9","7","5","10","6.2","7.6","5.5","12.1","7","7.3","12.2","13.6","17.7","18.1","20.2","18.6","15.5","17.3","20.7","25.5","39.1","","","",
